Genes	Left-End-Position	Right-End-Position	Direction	Product
ydfO	1637047	1637457	+	Qin prophage; DUF1398 domain-containing protein YdfO
ydfR	1640054	1640365	-	Qin prophage; protein YdfR
ydfT	1642489	1643241	-	Qin prophage; putative antitermination protein Q
ydfU	1643255	1644304	-	Qin prophage; protein YdfU
ydfV	1645897	1646202	+	Qin prophage; protein YdfV
ydfW	1647174	1647323	-	Qin prophage; uncharacterized protein YdfW
ydfX	1647346	1647636	-	Qin prophage; uncharacterized protein YdfX
ydfZ	1629215	1629418	+	putative selenoprotein YdfZ
ydgA	1689852	1691360	+	DUF945 domain-containing protein YdgA
ydgC	1681695	1682030	-	GlpM family protein
ydgD	1671960	1672781	+	putative serine protease YdgD
ydgH	1678427	1679371	+	DUF1471 domain-containing protein YdgH
ydgI	1679557	1680939	+	putative arginine:ornithine antiporter
ydgJ	1703268	1704308	-	putative oxidoreductase YdgJ
ydgK	1705250	1705690	+	DUF2569 domain-containing inner membrane protein YdgK
ydgU	1671777	1671860	+	uncharacterized protein YdgU
ydgV	1673608	1673709	-	protein YdgV
ydhB	1738866	1739798	-	putative LysR family DNA-binding transcriptional regulator YdhB
ydhC	1739911	1741122	+	putative transporter YdhC
ydhF	1724736	1725632	-	putative oxidoreductase YdhF
ydhI	1721025	1721261	+	DUF1656 domain-containing protein YdhI
ydhJ	1721264	1722121	+	putative membrane fusion protein YdhJ
ydhK	1722121	1724133	+	putative transporter YdhK
ydhL	1725681	1725920	-	DUF1289 domain-containing protein YdhL
ydhP	1736121	1737290	-	putative transporter YdhP
ydhQ	1744871	1746127	-	putative adhesin-related protein YdhQ
ydhR	1746700	1747005	+	putative monooxygenase YdhR
ydhS	1747131	1748735	+	FAD/NAD(P) binding domain-containing protein YdhS
ydhT	1748747	1749559	-	uncharacterized protein YdhT
ydhU	1749563	1750348	-	putative cytochrome YdhU
ydhV	1751728	1753830	-	putative oxidoreductase YdhV
ydhW	1751077	1751724	-	uncharacterized protein YdhW
ydhX	1750345	1751013	-	putative 4Fe-4S ferredoxin-like protein YdhX
ydhY	1753851	1754477	-	putative 4Fe-4S ferredoxin-like protein YdhY
ydiB	1773789	1774655	+	quinate/shikimate dehydrogenase
ydiE	1789613	1789804	+	PF10636 family protein YdiE
ydiF	1775587	1777182	+	putative acetate-CoA transferase YdiF
ydiH	1764934	1765122	-	uncharacterized protein YdiH
ydiJ	1765629	1768685	-	putative FAD-linked oxidoreductase
ydiK	1769074	1770186	+	putative transporter YdiK
ydiL	1770615	1770971	+	DUF1870 domain-containing protein YdiL
ydiM	1771071	1772285	+	putative exporter YdiM
ydiN	1772512	1773777	+	putative transporter YdiN
ydiO	1777196	1778347	+	putative acyl-CoA dehydrogenase YdiO
ydiP	1778390	1779301	-	putative DNA-binding transcriptional regulator YdiP
ydiQ	1779617	1780381	+	putative electron transfer flavoprotein subunit YdiQ
ydiR	1780401	1781339	+	putative electron transfer flavoprotein subunit YdiR
ydiS	1781395	1782684	+	putative electron transfer flavoprotein-quinone oxidoreductase YdiS
ydiT	1782681	1782974	+	ferredoxin-like protein YdiT
ydiU	1789808	1791244	-	UPF0061 family protein YdiU
ydiY	1805325	1806083	-	acid-inducible putative outer membrane protein YdiY
ydiZ	1807400	1807690	+	putative endoribonuclease YdiZ
ydjA	1848125	1848676	-	putative oxidoreductase YdjA
ydjE	1852621	1853979	-	putative transporter YdjE
ydjF	1854096	1854854	-	putative DNA-binding transcriptional regulator YdjF
ydjG	1854991	1855971	-	NADH-dependent methylglyoxal reductase
ydjH	1855981	1856928	-	L-<i>glycero</i>-L-galacto-octuluronate kinase
ydjI	1856933	1857769	-	L-<i>glycero</i>-L-galacto-octuluronate-1-phosphate aldolase
ydjJ	1857790	1858833	-	putative zinc-binding dehydrogenase YdjJ
ydjK	1858850	1860229	-	putative transporter YdjK
ydjL	1860256	1861332	-	putative zinc-binding dehydrogenase YdjL
ydjM	1810211	1810801	+	inner membrane protein YdjM
ydjO	1812329	1813132	-	protein YdjO
ydjX	1833401	1834111	+	DedA family protein YdjX
ydjY	1834116	1834793	+	4Fe-4S ferredoxin-type domain-containing protein YdjY
ydjZ	1834808	1835515	+	DedA family protein YdjZ
yeaC	1861702	1861974	-	DUF1315 domain-containing protein YeaC
yeaD	1863850	1864734	+	putative aldose 1-epimerase YeaD
yeaE	1864782	1865636	-	methylglyoxal reductase YeaE
yeaG	1866908	1868842	+	protein kinase YeaG
yeaH	1868955	1870238	+	DUF444 domain-containing protein YeaH
yeaK	1873574	1874077	+	mischarged aminoacyl-tRNA deacylase
yeaL	1874352	1874798	+	DUF441 domain-containing inner membrane protein YeaL
yeaO	1876909	1877256	+	DUF488 domain-containing protein YeaO
yeaQ	1879007	1879255	-	PF04226 family protein YeaQ
yeaR	1879589	1879948	-	DUF1971 domain-containing protein YeaR
yeaV	1883188	1884633	+	putative transporter YeaV
yeaW	1884665	1885789	+	carnitine monooxygenase subunit YeaW
yeaX	1885845	1886810	+	carnitine monooxygenase subunit YeaX
yeaY	1889951	1890532	-	Slp family lipoprotein YeaY
yebB	1946251	1946853	+	putative papain-like amidase YebB
yebC	1947411	1948151	-	putative transcriptional regulator YebC
yebE	1929048	1929707	-	DUF533 domain-containing inner membrane protein YebE
yebF	1930034	1930390	-	secreted protein YebF
yebG	1930457	1930747	-	DNA damage-inducible protein YebG
yebK	1936652	1937521	+	DNA-binding transcriptional repressor YebK
yebO	1908261	1908548	-	uncharacterized protein YebO
yebQ	1910276	1911649	+	putative transporter YebQ
yebV	1921780	1922016	+	DUF1480 domain-containing protein YebV
yebW	1922121	1922312	+	DUF1482 domain-containing protein YebW
yebY	1923365	1923706	-	DUF2511 domain-containing protein YebY
yebZ	1923719	1924591	-	putative inner membrane protein
yecA	1990954	1991619	-	UPF0149 family protein YecA
yecD	1950832	1951398	+	isochorismatase family protein YecD
yecE	1951395	1952213	+	DUF72 domain-containing protein YecE
yecF	1995818	1996042	+	DUF2594 domain-containing protein YecF
yecH	1989251	1989490	-	DUF2492 domain-containing protein YecH
yecJ	1987507	1987758	-	DUF2766 domain-containing protein YecJ
yecM	1959280	1959846	-	putative metal-binding enzyme YecM
yecN	1952266	1952661	+	MAPEG family inner membrane protein YecN
yecR	1988222	1988545	+	lipoprotein YecR
yecT	1961972	1962460	+	protein YecT
yecU	1995655	1995831	+	protein YecU
yecV	1961837	1961881	-	protein YecV
yedA	2029539	2030459	+	putative transporter YedA
yedD	2007677	2008090	-	lipoprotein YedD
yedE	2008277	2009482	+	putative selenium transporter YedE
yedF	2009479	2009712	+	putative sulfurtransferase YedF
yedI	2028449	2029366	-	DUF808 domain-containing inner membrane protein YedI
yedJ	2032384	2033079	-	putative HD superfamily phosphohydrolase YedJ
yedK	2009821	2010489	+	genome maintenance protein
yedL	2010600	2011079	+	putative acetyltransferase YedL
yedN	2011223	2012351	-	putative type III secreted effector, N-terminal fragment
yedP	2025511	2026326	+	putative mannosyl-3-phosphoglycerate phosphatase
yedR	2033119	2033484	-	putative inner membrane protein YedR
yeeA	2079533	2080591	-	putative transporter YeeA
yeeD	2084226	2084453	-	putative sulfurtransferase YeeD
yeeE	2084467	2085525	-	inner membrane protein YeeE
yeeJ	2044938	2052014	+	inverse autotransporter adhesin
yeeN	2056858	2057574	+	putative transcriptional regulator YeeN
yeeO	2058203	2059846	-	FMN/FAD exporter
yeeP	2070786	2071211	+	CP4-44 prophage; putative GTP-binding protein
yeeR	2074779	2076311	+	CP4-44 prophage; inner membrane protein YeeR
yeeS	2076308	2076754	+	CP4-44 prophage; RadC-like JAB domain-containing protein YeeS
yeeT	2076817	2077038	+	CP4-44 prophage; DUF987 domain-containing protein YeeT
yeeW	2077940	2078134	+	CP4-44 prophage; putative uncharacterized protein YeeW
yeeX	2079032	2079361	-	DUF496 domain-containing protein YeeX
yeeY	2087329	2088258	-	putative DNA-binding transcriptional regulator YeeY
yeeZ	2088304	2089128	-	putative epimerase YeeZ
yefM	2089462	2089713	-	YefM antitoxin of the YoeB-YefM toxin-antitoxin pair and DNA binding transcriptional repressor
yegD	2147674	2149026	+	HSP70 family protein YegD
yegH	2137902	2139485	+	inner membrane protein YegH
yegI	2149039	2150985	-	protein kinase YegI
yegJ	2151185	2151646	+	DUF2314 domain-containing protein YegJ
yegL	2152469	2153128	-	IPR002035 domain-containing protein YegL
yegP	2165189	2165521	+	DUF1508 domain-containing protein YegP
yegR	2167989	2168306	-	uncharacterized protein YegR
yegS	2168712	2169611	+	lipid kinase YegS
yegT	2178821	2180098	+	putative transporter YegT
yegU	2180095	2181099	+	putative ADP-ribosylglycohydrolase YegU
yegV	2181096	2182061	+	putative sugar kinase YegV
yegW	2182035	2182781	-	putative DNA-binding transcriptional regulator YegW
yegX	2182833	2183651	-	putative glycosyl hydrolase YegX
yehA	2187380	2188414	-	putative fimbrial adhesin YehA
yehB	2188430	2190910	-	putative fimbrial usher protein YehB
yehC	2190926	2191645	-	putative fimbrial chaperone YehC
yehD	2191680	2192222	-	putative fimbrial protein YehD
yehE	2192515	2192796	-	DUF2574 domain-containing protein YehE
yehF	2196474	2197298	+	protein YehF
yehI	2200279	2203911	+	DUF4132 domain-containing protein YehI
yehK	2203972	2204289	+	uncharacterized protein YehK
yehL	2204596	2205684	+	putative AAA+ MoxR family ATPase YehL
yehM	2205695	2207974	+	uncharacterized protein YehM
yehP	2207967	2209103	+	VWA domain-containing protein YehP
yehQ	2209100	2210944	+	SWIM zinc finger domains-containing protein YehQ
yehR	2211225	2211686	+	DUF1307 domain-containing lipoprotein YehR
yehS	2211726	2212196	-	DUF1456 domain-containing protein YehS
yehW	2215745	2216476	-	glycine betaine ABC transporter membrane subunit YehW
yehX	2216481	2217407	-	glycine betaine ABC transporter ATP binding subunit YehX
yehY	2217400	2218557	-	glycine betaine ABC transporter membrane subunit YehY
yeiB	2241810	2242967	-	DUF418 domain-containing protein YeiB
yeiE	2248737	2249618	-	LysR-type transcriptional regulator YeiE
yeiG	2243910	2244746	+	<i>S</i>-formylglutathione hydrolase / <i>S</i>-lactoylglutathione hydrolase
yeiH	2249717	2250766	+	PF03601 family inner membrane protein YeiH
yeiI	2251700	2252788	+	putative sugar kinase YeiI
yeiL	2255355	2256014	+	putative DNA-binding transcriptional regulator YeiL
yeiP	2265450	2266022	+	elongation factor P-like protein YeiP
yeiQ	2266245	2267711	+	putative oxidoreductase YeiQ
yeiR	2267829	2268815	+	zinc-binding GTPase YeiR
yeiS	2233600	2233839	+	DUF2542 domain-containing protein YeiS
yeiW	2265041	2265295	-	putative metal-chelating domain-containing protein YeiW
yejA	2272364	2274178	+	putative oligopeptide ABC transporter periplasmic binding protein YejA
yejB	2274179	2275273	+	putative oligopeptide ABC transporter membrane subunit YejB
yejE	2275273	2276298	+	putative oligopeptide ABC transporter membrane subunit YejE
yejF	2276300	2277889	+	putative oligopeptide ABC transporter ATP binding subunit YejF
yejG	2277893	2278237	-	protein YejG
yejK	2282940	2283947	-	nucleoid-associated protein YejK
yejL	2284129	2284356	+	DUF1414 domain-containing protein YejL
yejM	2284376	2286136	+	LPS homeostasis protein YejM
yfaA	2334956	2336644	-	DUF2138 domain-containing protein YfaA
yfaE	2348514	2348768	+	ferredoxin-like diferric-tyrosyl radical cofactor maintenance protein YfaE
yfaH	2349687	2349893	+	putative uncharacterized protein YfaH
yfaL	2340417	2344169	-	putative autotransporter adhesin YfaL
yfaP	2327367	2328143	-	DUF2135 domain-containing protein YfaP
yfaQ	2328148	2329797	-	tandem DUF2300 domain-containing protein YfaQ
yfaT	2334336	2334959	-	DUF1175 domain-containing protein YfaT
yfaU	2358042	2358845	-	2-keto-3-deoxy-L-rhamnonate aldolase
yfaV	2358863	2360152	-	putative transporter YfaV
yfaX	2361429	2362211	-	putative DNA-binding transcriptional regulator YfaX
yfaY	2362431	2363633	-	IPR008135 CinA family protein YfaY
yfaZ	2363733	2364275	-	putative porin YfaZ
yfbK	2383995	2385722	-	IPR002035/DUF3520 domain-containing protein YfbK
yfbL	2385860	2386831	+	putative peptidase YfbL
yfbM	2386934	2387437	+	DUF1877 domain-containing protein YfbM
yfbN	2387710	2388426	-	uncharacterized protein YfbN
yfbO	2388635	2389057	+	uncharacterized protein YfbO
yfbP	2389116	2389964	+	uncharacterized protein YfbP
yfbR	2408862	2409461	+	dCMP phosphohydrolase
yfbS	2409520	2411352	-	putative transporter YfbS
yfbU	2412100	2412594	-	UPF0304 family protein YfbU
yfbV	2412677	2413132	-	UPF0208 membrane protein YfbV
yfcA	2444751	2445560	-	putative transporter YfcA
yfcC	2417081	2418601	+	putative transporter YfcC
yfcD	2418634	2419176	-	putative Nudix hydrolase YfcD
yfcE	2419234	2419788	-	phosphodiesterase YfcE
yfcF	2419841	2420485	-	glutathione <i>S</i>-transferase YfcF
yfcG	2420621	2421268	+	disulfide reductase
yfcH	2421708	2422601	+	putative NAD-dependent epimerase YfcH
yfcJ	2438942	2440120	-	putative transporter YfcJ
yfcL	2443891	2444169	-	PF08891 family protein YfcL
yfcO	2449228	2450049	-	DUF2544 domain-containing protein YfcO
yfcP	2450051	2450590	-	putative fimbrial protein YfcP
yfcQ	2450587	2451075	-	putative fimbrial protein YfcQ
yfcR	2451072	2451584	-	putative fimbrial protein YfcR
yfcS	2451584	2452336	-	putative fimbrial chaperone YfcS
yfcV	2455083	2455646	-	putative fimbrial protein YfcV
yfcZ	2460650	2460934	-	DUF406 domain-containing protein YfcZ
yfdC	2465301	2466233	+	inner membrane protein YfdC
yfdE	2488023	2489168	-	acetyl-CoA:oxalate CoA-transferase
yfdF	2463012	2464070	+	protein YfdF
yfdG	2467855	2468217	+	CPS-53 (KpLE1) prophage; putative bactoprenol-linked glucose translocase
yfdH	2468214	2469134	+	CPS-53 (KpLE1) prophage; bactoprenol glucosyl transferase
yfdI	2469131	2470462	+	CPS-53 (KpLE1) prophage; serotype-specific glucosyl transferase YfdI
yfdK	2471077	2471517	-	CPS-53 (KpLE1) prophage; putative tail fiber assembly protein YfdK
yfdM	2472112	2472387	-	CPS-53 (KpLE1) prophage; putative methyltransferase YfdM
yfdN	2472387	2472881	-	CPS-53 (KpLE1) prophage; uncharacterized protein YfdN
yfdO	2472878	2473246	-	CPS-53 (KpLE1) prophage; protein YdfO
yfdP	2473604	2473966	+	CPS-53 (KpLE1) prophage; uncharacterized protein YfdP
yfdQ	2474032	2474856	+	CPS-53 (KpLE1) prophage; DUF2303 domain-containing protein YfdQ
yfdR	2474984	2475520	+	CPS-53 (KpLE1) prophage; 5'-deoxynucleotidase
yfdS	2475511	2475873	+	CPS-53 (KpLE1) prophage; protein YfdS
yfdT	2475873	2476178	+	CPS-53 (KpLE1) prophage; protein YfdT
yfdV	2489242	2490186	-	putative transport protein YfdV
yfdX	2493767	2494402	-	protein YfdX
yfdY	2495050	2495292	-	DUF2545 domain-containing protein YfdY
yfeC	2518467	2518811	+	putative DNA-binding transcriptional regulator YfeC
yfeD	2518813	2519205	+	putative DNA-binding transcriptional regulator YfeD
yfeH	2526946	2527944	+	putative solute:Na<sup>+</sup> symporter
yfeK	2537342	2537716	+	DUF5329 domain-containing protein YfeK
yfeN	2525127	2525891	+	putative outer membrane porin YfeN
yfeO	2509630	2510886	+	putative transport protein YfeO
yfeR	2525930	2526856	-	putative LysR-type DNA-binding transcriptional regulator YfeR
yfeS	2537749	2538483	+	PF05406 family protein YfeS
yfeW	2548102	2549406	+	penicillin binding protein 4B
yfeX	2549646	2550545	-	porphyrinogen peroxidase
yfeY	2550641	2551216	-	DUF1131 domain-containing lipoprotein YfeY
yfeZ	2551277	2551726	-	putative inner membrane protein
yffB	2591247	2591603	+	putative reductase YffB
yffL	2560257	2560898	+	CPZ-55 prophage; uncharacterized protein YffL
yffM	2561368	2561613	+	CPZ-55 prophage; uncharacterized protein YffM
yffN	2561625	2561993	+	CPZ-55 prophage; uncharacterized protein YffN
yffO	2562111	2562527	+	CPZ-55 prophage; uncharacterized protein YffO
yffP	2562524	2563117	+	CPZ-55 prophage; uncharacterized protein YffP
yffQ	2563592	2563969	+	CPZ-55 prophage; uncharacterized protein YffQ
yffR	2563980	2564372	+	CPZ-55 prophage; uncharacterized protein YffR
yffS	2564523	2565332	+	CPZ-55 prophage; uncharacterized protein YffS
yfgD	2617578	2617937	+	putative oxidoreductase YfgD
yfgG	2629290	2629481	+	nickel/cobalt stress response protein YfgG
yfgH	2629792	2630310	+	lipoprotein YfgH
yfgI	2630326	2630865	+	nalidixic acid resistance protein YfgI
yfgJ	2635599	2635814	-	zinc ribbon domain-containing protein YfgJ
yfgM	2638663	2639283	-	ancillary SecYEG translocon subunit
yfgO	2614820	2615881	-	putative transporter YfgO
yfhH	2698759	2699607	+	putative DNA-binding transcriptional regulator YfhH
yfhL	2699663	2699923	+	putative 4Fe-4S cluster-containing protein YfhL
yfhM	2647326	2652287	-	&alpha;<sub>2</sub>-macroglobulin
yfhR	2664390	2665244	+	putative peptidase
yfiB	2743625	2744107	+	lipoprotein YfiB
yfiC	2712027	2712764	-	tRNA m<sup>6</sup>A37 methyltransferase
yfiE	2714439	2715320	-	putative LysR-type DNA-binding transcriptional regulator YfiE
yfiF	2717491	2718528	-	putative methyltransferase YfiF
yfiL	2741360	2741725	+	DUF2799 domain-containing lipoprotein YfiL
yfiM	2724128	2724451	+	protein YfiM
yfiR	2741875	2742393	+	DUF4154 domain-containing protein YfiR
yfiS	2725925	2725987	+	protein YfiS
yfjD	2748774	2750060	+	UPF0053 family inner membrane protein YfjD
yfjF	2754008	2754298	-	putative component of the Rsx system
yfjH	2757644	2758600	-	CP4-57 prophage; uncharacterized protein YfjH
yfjI	2758985	2760394	+	CP4-57 prophage; protein YfjI
yfjJ	2760547	2761173	+	CP4-57 prophage; protein YfjJ
yfjM	2765513	2765776	-	CP4-57 prophage; protein YfjM
yfjP	2767710	2768573	+	CP4-57 prophage; putative GTP-binding protein YfjP
yfjQ	2768665	2769486	+	CP4-57 prophage; DUF932 domain-containing protein YfjQ
yfjR	2769703	2770404	+	CP4-57 prophage; putative DNA-binding transcriptional regulator YfjR
yfjS	2770681	2771124	+	CP4-57 prophage; inner membrane lipoprotein YfjS
yfjT	2771148	2771615	+	CP4-57 prophage; uncharacterized protein YfjT
yfjU	2771840	2772154	-	CP4-57 prophage; putative arsenate reductase-like protein YfjU
yfjV	2772167	2773182	-	CP4-57 prophage; putative arsenite transporter, N-terminal fragment
yfjW	2773318	2775021	+	CP4-57 prophage; uncharacterized protein YfjW
yfjX	2775919	2776377	+	CP4-57 prophage; putative antirestriction protein YfjX
yfjY	2776386	2776868	+	CP4-57 prophage; RadC-like JAB domain-containing protein YfjY
yfjZ	2777115	2777432	+	CP4-57 prophage; putative antitoxin of the YpjF-YfjZ toxin-antitoxin system
ygaC	2799650	2799994	-	DUF2002 domain-containing protein YgaC
ygaH	2810344	2810679	+	L-valine exporter, YgaH component
ygaM	2800146	2800475	+	DUF883 domain-containing protein YgaM
ygaP	2797520	2798044	+	thiosulfate sulfurtransferase YgaP
ygaV	2797211	2797510	+	putative DNA-binding transcriptional regulator YgaV
ygaZ	2809617	2810354	+	L-valine exporter, YgaZ component
ygbA	2856453	2856806	-	protein YgbA
ygbE	2873014	2873337	-	DUF3561 domain-containing inner membrane protein YgbE
ygbI	2860467	2861234	-	putative DeoR-type DNA-binding transcriptional regulator YgbI
ygbJ	2861430	2862338	+	putative L-threonate dehydrogenase
ygbK	2862335	2863501	+	putative 3-oxo-tetronate kinase YgbK
ygbL	2863593	2864231	+	putative 3-oxo-tetronate 4-phosphate decarboxylase YgbL
ygbM	2864236	2865012	+	putative 2-oxo-tetronate isomerase YgbM
ygbN	2865101	2866465	+	putative transporter YgbN
ygcE	2901896	2903374	+	putative sugar kinase YgcE
ygcG	2905711	2906583	+	protein YgcG
ygcN	2892657	2893928	+	putative oxidoreductase with FAD/NAD(P)-binding domain
ygcO	2893919	2894179	+	putative 4Fe-4S cluster-containing protein
ygcP	2894196	2894771	+	putative anti-terminator regulatory protein
ygcQ	2894919	2895779	-	putative flavoprotein
ygcR	2895776	2896555	-	putative flavoprotein
ygcS	2896533	2897870	-	putative transporter YgcS
ygcU	2897964	2899418	-	putative FAD-containing dehydrogenase
ygcW	2899488	2900273	-	putative deoxygluconate dehydrogenase
ygdB	2962749	2963156	-	DUF2509 domain-containing protein YgdB
ygdD	2941236	2941631	-	DUF423 domain-containing inner membrane protein YgdD
ygdG	2931055	2931810	+	flap endonuclease
ygdI	2942918	2943145	-	DUF903 domain-containing lipoprotein YgdI
ygdQ	2970420	2971133	+	UPF0053 inner membrane protein YgdQ
ygdR	2971271	2971489	+	DUF903 domain-containing lipoprotein YgdR
ygdT	2969330	2969476	-	hypothetical protein YgdT
ygeA	2979943	2980635	-	amino acid racemase YgeA
ygeG	2991268	2991759	+	TPR repeat-containing putative chaperone YgeG
ygeH	2992094	2993470	+	putative transcriptional regulator YgeH
ygeI	2993638	2993856	+	protein YgeI
ygeL	2994937	2995092	-	protein YgeL
ygeO	2995962	2996360	-	putative uncharacterized protein YgeO
ygeQ	2998034	2998828	-	putative lipoprotein YgeQ
ygeR	2999136	2999891	-	LysM domain-containing putative peptidase lipoprotein YgeR
ygeV	3004008	3005786	-	putative &sigma;<sup>54</sup>-dependent transcriptional regulator YgeV
ygeW	3006262	3007452	+	putative carbamoyltransferase YgeW
ygeX	3007510	3008706	+	2,3-diaminopropionate ammonia-lyase
ygeY	3008764	3009975	+	putative peptidase YgeY
ygfB	3054866	3055444	-	UPF0149 family protein YgfB
ygfF	3045158	3045901	-	putative oxidoreductase YgfF
ygfI	3066277	3067173	-	putative LysR-type DNA-binding transcriptional regulator YgfI
ygfK	3016060	3019158	+	putative oxidoreductase, Fe-S subunit
ygfM	3020540	3021319	+	putative oxidoreductase
ygfS	3028524	3029012	-	putative electron transport protein YgfS
ygfT	3029012	3030931	-	putative oxidoreductase YgfT
ygfX	3040416	3040823	-	protein YgfX
ygfZ	3041313	3042293	+	folate-binding protein
yggC	3073976	3074689	-	P-loop NTPase domain-containing protein YggC
yggE	3067340	3068080	-	DUF541 domain-containing protein YggE
yggF	3075217	3076182	-	fructose 1,6-bisphosphatase YggF
yggI	3089755	3090252	+	protein YggI
yggL	3101807	3102133	-	protein YggL
yggM	3098558	3099565	-	DUF1202 domain-containing protein YggM
yggN	3100904	3101623	-	DUF2884 domain-containing protein YggN
yggP	3076179	3077456	-	putative zinc-binding dehydrogenase YggP
yggR	3094100	3095080	-	Type II/IV secretion system family protein
yggS	3095098	3095802	+	PLP homeostasis protein
yggT	3095820	3096386	+	uncharacterized protein YggT
yggU	3096383	3096673	+	DUF167 domain-containing protein YggU
yggX	3104093	3104368	+	putative Fe<sup>2+</sup>-trafficking protein
yghA	3149662	3150546	+	NADP<sup>+</sup>-dependent aldehyde reductase
yghB	3153563	3154222	+	DedA family protein YghB
yghD	3110590	3111126	-	putative type II secretion system M-type protein YghD
yghE	3111128	3111988	-	putative type II secretion system L-type protein YghE
yghF	3112054	3113049	-	putative type II secretion system C-type protein YghF
yghG	3113067	3113477	-	lipoprotein YghG
yghJ	3114550	3119112	-	putative lipoprotein YghJ
yghO	3129043	3130215	-	putative DNA-binding transcriptional regulator YghO
yghQ	3131341	3132408	-	putative transport protein YghQ
yghR	3132454	3133212	-	putative ATP-binding protein YghR
yghS	3133244	3133957	-	putative ATP-binding protein YghS
yghT	3134131	3134823	+	putative ATP-binding protein YghT
yghU	3138727	3139593	+	disulfide reductase / organic hydroperoxide reductase
yghW	3146450	3146737	-	DUF2623 domain-containing protein YghW
ygiB	3179744	3180415	+	DUF1190 domain-containing protein YgiB
ygiC	3180421	3181581	+	putative acid&mdash;amine ligase YgiC
ygiD	3181619	3182434	-	4,5-DOPA dioxygenase extradiol
ygiF	3199664	3200965	-	inorganic triphosphatase
ygiL	3185414	3185965	+	putative fimbrial protein YgiL
ygiM	3201207	3201827	+	putative signal transduction protein (SH3 domain)
ygiN	3173142	3173456	+	putative quinol monooxygenase YgiN
ygiQ	3158927	3161146	-	radical SAM superfamily protein YgiQ
ygiS	3166111	3167718	-	putative deoxycholate binding periplasmic protein
ygiV	3168749	3169231	-	DNA-binding transcriptional repressor YgiV
ygiW	3169284	3169676	-	BOF family protein YgiW
ygiZ	3171879	3172211	-	DUF2645 domain-containing inner membrane protein YgiZ
ygjH	3220915	3221247	-	putative tRNA-binding protein YgjH
ygjI	3226234	3227667	+	putative transporter YgjI
ygjJ	3227801	3228871	+	protein YgjJ
ygjK	3228888	3231239	+	glycoside hydrolase
ygjP	3235960	3236463	+	putative metal-dependent hydrolase
ygjQ	3236540	3237232	+	DUF218 domain-containing protein YgjQ
ygjR	3237311	3238297	+	putative oxidoreductase YgjR
ygjV	3241193	3241744	-	inner membrane protein
yhaB	3267854	3268393	+	protein YhaB
yhaC	3268415	3269602	+	uncharacterized protein YhaC
yhaH	3252304	3252669	+	putative inner membrane protein
yhaI	3252911	3253267	+	putative inner membrane protein
yhaJ	3253318	3254214	-	DNA-binding transcriptional activator YhaJ
yhaK	3254319	3255020	+	bicupin-related protein
yhaL	3255043	3255207	+	uncharacterized protein YhaL
yhaV	3277337	3277801	+	ribosome-dependent mRNA interferase toxin YhaV
yhbE	3331770	3332735	-	putative transporter YhbE
yhbO	3298974	3299492	+	protein/nucleic acid deglycase 2
yhbP	3299472	3299915	-	putative FMN binding protein YhbP
yhbQ	3299966	3300268	+	DNA damage response nuclease YhbQ
yhbS	3300255	3300758	-	putative <i>N</i>-acetyltransferase YhbS
yhbW	3303448	3304455	+	putative luciferase-like monooxygenase YhbW
yhbX	3319988	3321613	-	putative hydrolase YhbX
yhbY	3327790	3328083	+	ribosome assembly factor YhbY
yhcA	3362112	3362786	+	putative fimbrial chaperone YhcA
yhcB	3380191	3380589	+	DUF1043 domain-containing inner membrane protein YhcB
yhcC	3353121	3354050	-	radical SAM family oxidoreductase YhcC
yhcD	3362807	3365188	+	putative fimbrial usher protein YhcD
yhcF	3366926	3367642	+	DUF1120 domain-containing protein YhcF
yhcG	3367827	3368954	+	DUF1016 domain-containing protein YhcG
yhcH	3369014	3369478	-	DUF386 domain-containing protein YhcH
yhcN	3385538	3385801	+	DUF1471 domain-containing stress-induced protein YhcN
yhcO	3385857	3386129	-	putative barnase inhibitor
yhdE	3397785	3398378	-	nucleoside triphosphate pyrophosphatase YhdE
yhdH	3403484	3404458	+	acrylyl-CoA reductase
yhdJ	3411653	3412537	+	DNA adenine methyltransferase
yhdN	3439141	3439509	-	DUF1992 domain-containing protein YhdN
yhdP	3392458	3396258	-	outer membrane permeability factor YhdP
yhdT	3407375	3407617	+	DUF997 domain-containing protein YhdT
yhdU	3412621	3412800	+	DUF2556 domain-containing protein YhdU
yhdV	3418390	3418611	+	lipoprotein YhdV
yhdX	3420134	3421315	+	putative ABC transporter membrane subunit YhdX
yhdY	3421325	3422428	+	putative ABC transporter membrane subunit YhdY
yhdZ	3422436	3423194	+	putative ABC transporter ATP-binding subunit YhdZ
yheO	3475718	3476440	-	DNA-binding transcriptional regulator YheO
yheS	3481289	3483202	+	putative ATP-binding protein YheS
yheT	3483202	3484224	+	putative hydrolase YheT
yheU	3484218	3484436	+	UPF0270 family protein YheU
yheV	3478592	3478792	-	DUF2387 domain-containing protein YheV
yhfA	3485414	3485818	-	OsmC family protein YhfA
yhfG	3491453	3491620	-	DUF2559 domain-containing protein YhfG
yhfK	3486791	3488893	+	putative transporter YhfK
yhfL	3499448	3499615	+	DUF4223 domain-containing lipoprotein YhfL
yhfS	3504935	3506020	-	putative aminotransferase YhfS
yhfT	3506032	3507336	-	uncharacterized protein YhfT
yhfU	3507348	3507701	-	DUF2620 domain-containing protein YhfU
yhfW	3508587	3509813	-	putative mutase YhfW
